"osm_id","name","ref","highway","aadt","roadtype","road_importance","urban"
"1908200","Pear Tree Close",NA,"residential",NA,"minor",3,1
"1908201","Grenville Drive",NA,"residential",NA,"minor",3,1
"1908202","Wrexham Avenue",NA,"residential",NA,"minor",3,1
"1908203","Oakwood Road",NA,"residential",NA,"minor",5,1
"1908204","Oakwood Close",NA,"residential",NA,"minor",2,0
"1908205","Mitchell's Road",NA,"residential",NA,"minor",5,0
"1908255","Monterey Road",NA,"residential",NA,"minor",5,1
"1908257","Windmill Close",NA,"residential",NA,"minor",5,1
"1908291","St Marys Close",NA,"residential",NA,"minor",4,1
"1908292","Grove Road",NA,"residential",NA,"minor",4,1
"1908493","Spencer Road",NA,"residential",NA,"minor",5,1
"1908494","Beech Grove",NA,"residential",NA,"minor",4,1
"1908495","Northwood Drive",NA,"residential",NA,"minor",4,1
"1908496","Spencer Glade",NA,"residential",NA,"minor",4,0
"1908497","Buckland Gardens",NA,"residential",NA,"minor",5,0
"1908498","Sea Close",NA,"residential",NA,"minor",3,1
"1908499","St George's Road",NA,"residential",NA,"minor",3,1
"1908500","Augusta Road",NA,"residential",NA,"minor",5,1
"1908501","Westfield Park",NA,"residential",NA,"minor",5,1
"1908502","Buckingham Road",NA,"residential",NA,"minor",4,1
"1908503","Buckingham Close",NA,"residential",NA,"minor",2,1
"1908609","Ashey Road",NA,"tertiary",NA,"minor",5,0
"1915139","Clarendon Close",NA,"residential",NA,"minor",2,0
"1915140","Nicholas Close",NA,"residential",NA,"minor",3,0
"1915141","Tamar Close",NA,"residential",NA,"minor",2,1
"1915411","Station Road",NA,"residential",NA,"minor",2,0
"1915412","Yarborough Road",NA,"residential",NA,"minor",4,0
"1915413","Clevelands Road",NA,"residential",NA,"minor",4,0
"1915414","The Glade",NA,"residential",NA,"minor",4,0
"1915415","Berry Mead",NA,"residential",NA,"minor",4,0
"1915416","St Martins Road",NA,"residential",NA,"minor",3,0
"1915417","Brookside Crescent",NA,"residential",NA,"minor",4,0
"1915418","Badgers Close",NA,"residential",NA,"minor",2,0
"1915419","Manor Road",NA,"unclassified",NA,"minor",3,0
"1915420","Mountfield Road",NA,"residential",NA,"minor",4,0
"1915421","Stenbury View",NA,"residential",NA,"minor",3,0
"1915422","West Street",NA,"residential",NA,"minor",3,0
"1915515","Clarence Road","B3327","secondary",NA,"minor",3,0
"1915516","Rew Lane",NA,"unclassified",NA,"minor",4,0
"1915557","Wallis Close",NA,"residential",NA,"minor",3,0
"1915558","Grove Road",NA,"residential",NA,"minor",4,0
"1915617","Coombe Park",NA,"residential",NA,"minor",4,0
"1915685","Avenue Road",NA,"residential",NA,"minor",4,0
"1915686","St John's Road","B3327","secondary",NA,"minor",3,0
"1915687","Park View Close",NA,"residential",NA,"minor",4,0
"1915701","High Street","B3327","secondary",NA,"minor",2,0
"1915903","Yarborough Close",NA,"residential",NA,"minor",5,0
"1915904","Jubilee Close",NA,"residential",NA,"minor",3,0
"1915906","Worsley Road",NA,"residential",NA,"minor",4,0
"1915907","Dubbers",NA,"residential",NA,"minor",4,0
"1915908","May Close",NA,"residential",NA,"minor",3,0
"1915909","School Crescent",NA,"residential",NA,"minor",4,0
"1915910","Moor View",NA,"residential",NA,"minor",5,0
"1915911","Church Hollow",NA,"residential",NA,"minor",4,0
"1915938","Ternal Mead",NA,"residential",NA,"minor",3,0
"1916779","Fitzroy Street",NA,"residential",NA,"minor",5,1
"1916780","Grove Road",NA,"residential",NA,"minor",5,1
"1929204","Hazel Close",NA,"residential",NA,"minor",2,1
"1930486","Coppins Close",NA,"residential",NA,"minor",2,1
"1930517","Chestnut Close",NA,"residential",NA,"minor",3,1
"1930518","Milne Way",NA,"residential",NA,"minor",4,1
"1930519","Sydney Close",NA,"residential",NA,"minor",4,1
"1930520","Chatfield Lodge",NA,"residential",NA,"minor",2,1
"1930521","Meadow Green",NA,"residential",NA,"minor",4,1
"1930541","Winchat Close",NA,"residential",NA,"minor",2,1
"1930542","Kingfisher Close",NA,"residential",NA,"minor",3,1
"1930543","The Finches",NA,"residential",NA,"minor",3,1
"1930544","Linnet Close",NA,"residential",NA,"minor",2,1
"1930545","Kestrel Way",NA,"residential",NA,"minor",2,1
"1930552","Acacia Close",NA,"residential",NA,"minor",2,0
"1930553","Spindleberry Close",NA,"residential",NA,"minor",3,0
"1930554","Juniper Close",NA,"residential",NA,"minor",2,0
"1930569","Ward Close",NA,"residential",NA,"minor",3,1
"1930570","Kitbridge Road",NA,"residential",NA,"minor",4,0
"1930582","Greenfields Road",NA,"residential",NA,"minor",1,1
"1931719","Powell Close",NA,"residential",NA,"minor",5,0
"2034966","Newport Road","B3399","secondary",NA,"minor",2,0
"2035114","Lushington Hill","A3054","primary",19036,"major",1,0
"2035254","Lower St James Street",NA,"tertiary",NA,"minor",2,1
"2042245","Cameron Close",NA,"residential",NA,"minor",4,0
"2042246","Argyle Road",NA,"residential",NA,"minor",5,0
"2042248","Worcester Road",NA,"residential",NA,"minor",4,0
"2042249","Buckingham Crescent",NA,"residential",NA,"minor",3,0
"2042250","Hampshire Crescent",NA,"residential",NA,"minor",4,0
"2042251","Standen Avenue",NA,"residential",NA,"minor",5,0
"2042253","Crossways",NA,"residential",NA,"minor",3,0
"2042254","Quarry View",NA,"residential",NA,"minor",5,0
"2042255","Forest End",NA,"residential",NA,"minor",4,0
"2042256","High Road",NA,"residential",NA,"minor",4,0
"2042334","Northumberland Road",NA,"residential",NA,"minor",4,0
"2042659","The Hollows",NA,"residential",NA,"minor",2,0
"2042660","Ash Lane",NA,"residential",NA,"minor",4,1
"2042661","Ash Close",NA,"residential",NA,"minor",3,1
"2042662","Park Close",NA,"residential",NA,"minor",3,1
"2042663","Broadwood Lane",NA,"residential",NA,"minor",5,1
"2042664","Forest Hills",NA,"residential",NA,"minor",4,1
"2042665","Arthur Moody Drive",NA,"residential",NA,"minor",5,1
"2042666","Chapel Close",NA,"residential",NA,"minor",2,1
"2042667","Gunville West",NA,"residential",NA,"minor",3,1
"2042668","Spring Walk",NA,"residential",NA,"minor",4,1
"2042669","Pineview Drive",NA,"residential",NA,"minor",5,1
"2042670","Gunville Crescent",NA,"residential",NA,"minor",4,1
"2042671","Alvington Manor View",NA,"residential",NA,"minor",4,1
"2042714","Castle Street",NA,"residential",NA,"minor",4,1
"2042714","Castle Street",NA,"residential",NA,"minor",4,0
"2077709","Winchester Close",NA,"residential",NA,"minor",4,1
"2077737","Ash Road",NA,"residential",NA,"minor",5,1
"2077828","Station Road",NA,"residential",NA,"minor",2,1
"2118665","Scotchell's Close",NA,"residential",NA,"minor",2,1
"2118666","Downland View",NA,"residential",NA,"minor",4,1
"2118668","Linnet Rise",NA,"residential",NA,"minor",3,1
"2118669","Plover Close",NA,"residential",NA,"minor",3,1
"2118670","Pursley Close",NA,"residential",NA,"minor",5,1
"2118671","Kestrel Close",NA,"residential",NA,"minor",4,1
"2118672","Sandham Gardens",NA,"residential",NA,"minor",4,1
"2118673","Home Farm Close",NA,"residential",NA,"minor",4,1
"2118674","Blackpan Close",NA,"residential",NA,"minor",3,1
"2118676","Ashey View",NA,"residential",NA,"minor",4,1
"2118677","Whitecross Farm Lane",NA,"residential",NA,"minor",4,1
"2118771","Sibden Road",NA,"residential",NA,"minor",4,1
"2119455","Batts Road",NA,"residential",NA,"minor",3,1
"2119456","Orchard Road",NA,"residential",NA,"minor",5,1
"2119457","Chatsworth Avenue",NA,"residential",NA,"minor",5,1
"2119458","Windsor Drive",NA,"residential",NA,"minor",5,1
"2119459","Furze Hill Road",NA,"residential",NA,"minor",5,1
"2119460","St John's Road",NA,"tertiary",NA,"minor",3,1
"2119463","East Mount Road",NA,"residential",NA,"minor",4,1
"2119464","Crescent Road",NA,"residential",NA,"minor",5,1
"2119465","Cross Road",NA,"residential",NA,"minor",3,1
"2119466","Park Road",NA,"residential",NA,"minor",4,1
"2119467","Clarendon Road",NA,"residential",NA,"minor",4,1
"2119468","Osborne Road",NA,"residential",NA,"minor",4,1
"2119469","Eastcliff Promenade",NA,"residential",NA,"minor",3,1
"2119470","Palmerston Road",NA,"residential",NA,"minor",4,1
"2119471","Everton Lane",NA,"unclassified",NA,"minor",3,1
"2119472","Chine Avenue","B3328","secondary",NA,"minor",2,1
"2119473","Eastcliff Road",NA,"residential",NA,"minor",4,1
"2119474","Steephill Road",NA,"residential",NA,"minor",4,1
"2119475","Prospect Road",NA,"residential",NA,"minor",5,1
"2119476","Alexandra Road",NA,"residential",NA,"minor",5,1
"2119477","St. George's Road",NA,"residential",NA,"minor",5,1
"2119478","Cross Street",NA,"residential",NA,"minor",2,1
"2119479","St. Paul's Avenue",NA,"residential",NA,"minor",5,1
"2119480","Spring Gardens",NA,"residential",NA,"minor",4,1
"2119594","Carter Avenue",NA,"tertiary",NA,"minor",2,1
"2119595","Blythe Way",NA,"residential",NA,"minor",5,1
"2119596","Silver Trees",NA,"residential",NA,"minor",5,1
"2119597","Josephs Way",NA,"residential",NA,"minor",3,1
"2119598","Denny Gardens",NA,"residential",NA,"minor",3,1
"2119599","Brockwood Drive",NA,"residential",NA,"minor",2,1
"2119921","Oak Hills",NA,"residential",NA,"minor",1,1
"2119922","Brook Road",NA,"residential",NA,"minor",3,1
"2119924","Collingwood Road",NA,"residential",NA,"minor",3,1
"2119925","Northbourne Avenue",NA,"residential",NA,"minor",4,1
"2119926","Hatherton Road",NA,"residential",NA,"minor",3,1
"2119927","Albert Road",NA,"residential",NA,"minor",3,1
"2119928","Garfield Road",NA,"residential",NA,"minor",3,1
"2119941","George Street",NA,"residential",NA,"minor",4,1
"2119955","Donnington Drive",NA,"residential",NA,"minor",5,1
"2120040","Whitecross Lane",NA,"tertiary",NA,"minor",5,1
"2120041","Landguard Manor Road",NA,"tertiary",NA,"minor",4,1
"2120177","Sandown Road","A3055","primary",14533,"major",1,1
"2131226","Victoria Avenue","A3020","primary",5559,"major",5,1
"2134161","Newman Lane",NA,"unclassified",NA,"minor",4,0
"2134162","Southdown",NA,"unclassified",NA,"minor",5,0
"2134163","Atherfield Road",NA,"unclassified",NA,"minor",5,0
"2134163","Atherfield Road",NA,"unclassified",NA,"minor",5,0
"2134164","Pyle Shute",NA,"residential",NA,"minor",5,0
"2134165","Chale Lane",NA,"unclassified",NA,"minor",3,0
"2134166","Town Lane","B3399","secondary",NA,"minor",5,0
"2134167","Chale Green","B3399","secondary",NA,"minor",5,0
"2134168","Spanners Close",NA,"residential",NA,"minor",5,0
"2134169","Withers Road",NA,"residential",NA,"minor",2,0
"2134267","Beacon Alley",NA,"unclassified",NA,"minor",5,0
"2134268","Appleford Lane",NA,"unclassified",NA,"minor",5,0
"2134269","Dolcoppice Lane",NA,"unclassified",NA,"minor",5,0
"2134270","Shinybricks Lane",NA,"unclassified",NA,"minor",5,0
"2134327","Chequers Inn Road",NA,"unclassified",NA,"minor",2,0
"2169045","Ferry Road","A3021","primary",3164,"major",2,1
"2169092","Link Road","A3021","primary",3889,"major",2,1
"2169119","Castle Street","A3021","primary",2802,"major",2,0
"2169135","York Avenue","A3021","primary",3889,"major",2,1
"2169322","Folly Lane",NA,"unclassified",NA,"minor",5,0
"2169323","Campfield Road",NA,"residential",NA,"minor",5,0
"2169324","River View",NA,"residential",NA,"minor",5,0
"2169325","Barton Close",NA,"residential",NA,"minor",4,0
"2216362","Birch Close",NA,"residential",NA,"minor",4,1
"2233329","Rowan Tree Drive",NA,"residential",NA,"minor",5,0
"2233330","High Salterns",NA,"residential",NA,"minor",4,0
"2233331","West Street",NA,"residential",NA,"minor",2,0
"2233332","Fairy Road",NA,"residential",NA,"minor",5,0
"2235960",NA,NA,"residential",NA,"minor",3,0
"2235961","Puckpool Close",NA,"residential",NA,"minor",4,0
"2236953","Wavesound Close",NA,"residential",NA,"minor",2,1
"2262485","Copse End",NA,"residential",NA,"minor",4,1
"2285481","Vereker Drive",NA,"residential",NA,"minor",5,1
"2285482","Hendy Road",NA,"residential",NA,"minor",4,1
"2285484","John Nash Avenue",NA,"residential",NA,"minor",3,1
"2285485","Oak Tree Way",NA,"residential",NA,"minor",4,1
"2285486","St James Close",NA,"residential",NA,"minor",3,1
"2285564","Columbine Road",NA,"residential",NA,"minor",2,1
"2285565","Maresfield Road",NA,"residential",NA,"minor",5,1
"2285566","Minerva Road","B3321","secondary",NA,"minor",1,1
